,capacity_constant,cost,percentile,relative_error
135,4,12.87703295638791,25.925925925925924,0.24401557377131536
136,4,13.683401581794957,77.77777777777779,0.32191668123950046
137,4,11.534580149523519,6.172839506172839,0.11432481313970075
138,4,13.937741366427218,82.71604938271605,0.3464877648255852
139,4,13.68340158179496,77.77777777777779,0.3219166812395008
140,6,13.683401581794957,77.77777777777779,0.32191668123950046
141,6,13.683401581794959,77.77777777777779,0.3219166812395006
142,6,13.68340158179496,77.77777777777779,0.3219166812395008
143,6,12.311262988250023,12.345679012345679,0.18935805647526127
144,6,13.907959841511335,82.71604938271605,0.3436106516791411
145,6,13.683401581794957,77.77777777777779,0.32191668123950046
146,6,13.964459207358484,83.9506172839506,0.34906890368953064
147,6,13.39355358364363,60.49382716049383,0.2939152444995394
148,6,14.381189953851816,95.06172839506173,0.3893281420142939
149,6,13.937741366427217,82.71604938271605,0.346487764825585
150,2,13.2061616063647,80.24691358024691,0.292330569573995
151,2,12.579978811730307,60.49382716049383,0.23105347848817245
152,2,13.21903520455223,82.71604938271605,0.2935903561019849
153,2,12.882640537368346,67.90123456790124,0.2606713956347827
154,2,11.262319937676704,7.4074074074074066,0.10210981613065341
155,2,13.153395396269998,80.24691358024691,0.28716696576703543
156,2,11.664287953568808,14.814814814814813,0.14144566332171082
157,2,13.214101347043592,81.48148148148148,0.29310753792404726
158,2,11.826421877297946,19.753086419753085,0.15731178947142876
159,2,12.882640537368346,67.90123456790124,0.2606713956347827
160,4,12.882640537368347,67.90123456790124,0.26067139563478287
161,4,12.882640537368346,67.90123456790124,0.2606713956347827
162,4,13.129917854165917,80.24691358024691,0.2848694968836514
163,4,12.651526005537125,61.72839506172839,0.23805495465360302
164,4,12.882640537368346,67.90123456790124,0.2606713956347827
165,4,12.882640537368346,67.90123456790124,0.2606713956347827
166,4,13.80029645766545,97.53086419753086,0.35047150815036443
167,4,11.630416024696817,12.345679012345679,0.13813101895823338
168,4,13.448363989056379,95.06172839506173,0.3160320471498307
169,4,13.129917854165917,80.24691358024691,0.2848694968836514
170,6,13.211095463873342,80.24691358024691,0.29281338775193294
171,6,13.153395396269998,80.24691358024691,0.28716696576703543
172,6,12.579978811730307,60.49382716049383,0.23105347848817245
173,6,12.882640537368346,67.90123456790124,0.2606713956347827
174,6,11.262319937676704,7.4074074074074066,0.10210981613065341
175,6,13.129917854165917,80.24691358024691,0.2848694968836514
176,6,13.129917854165917,80.24691358024691,0.2848694968836514
177,6,12.882640537368346,67.90123456790124,0.2606713956347827
178,6,13.153395396269998,80.24691358024691,0.28716696576703543
179,6,12.882640537368346,67.90123456790124,0.2606713956347827
180,2,11.858708581167992,67.90123456790124,0.3025987893757667
181,2,10.601107192953867,16.049382716049383,0.16445979771469849
182,2,11.821616097422652,67.90123456790124,0.2985244313551683
183,2,11.993734399969362,72.8395061728395,0.317430460708381
184,2,11.821616097422652,67.90123456790124,0.2985244313551683
185,2,11.60542858145461,62.96296296296296,0.2747776974970378
186,2,11.60542858145461,62.96296296296296,0.2747776974970378
187,2,12.0308268837147,75.30864197530865,0.3215048187289792
188,2,11.208453434312673,29.629629629629626,0.23117266727473143
189,2,11.60542858145461,62.96296296296296,0.2747776974970378
190,4,12.037602760584479,75.30864197530865,0.32224910289340736
191,4,10.847138340458791,16.049382716049383,0.19148465229267314
192,4,11.60542858145461,62.96296296296296,0.2747776974970378
193,4,11.60542858145461,62.96296296296296,0.2747776974970378
194,4,11.858708581167994,67.90123456790124,0.30259878937576684
195,4,12.032432133651183,75.30864197530865,0.32168114455818686
196,4,11.60542858145461,62.96296296296296,0.2747776974970378
197,4,11.821616097422652,67.90123456790124,0.2985244313551683
198,4,11.60542858145461,62.96296296296296,0.2747776974970378
199,4,11.038970510392787,25.925925925925924,0.21255611640775957
200,6,11.60542858145461,62.96296296296296,0.2747776974970378
201,6,11.821616097422652,67.90123456790124,0.2985244313551683
202,6,11.60542858145461,62.96296296296296,0.2747776974970378
203,6,11.60542858145461,62.96296296296296,0.2747776974970378
204,6,11.60542858145461,62.96296296296296,0.2747776974970378
205,6,11.23068776147,29.629629629629626,0.23361495746505714
206,6,11.848013561905773,67.90123456790124,0.3014240139735412
207,6,10.338215084937673,6.172839506172839,0.1355828808654095
208,6,11.255158026360828,29.629629629629626,0.2363028502658901
209,6,12.25379027655252,81.48148148148148,0.34599583675153783
210,2,12.029233785084326,100.0,0.3098246968943925
211,2,12.029233785084326,100.0,0.3098246968943925
212,2,12.352073199175974,100.0,0.3449776455578798
213,2,12.352073199175974,100.0,0.3449776455578798
214,2,12.029233785084326,100.0,0.3098246968943925
215,2,12.210757145100237,100.0,0.32959019353865154
216,2,12.029233785084326,100.0,0.3098246968943925
217,2,10.694383039776715,39.50617283950617,0.16447707923982896
218,2,12.029233785084326,100.0,0.3098246968943925
219,2,11.78301716048481,95.06172839506173,0.2830149580990333
220,4,12.029233785084326,100.0,0.3098246968943925
221,4,12.545946682273025,100.0,0.36608790750559655
