steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
1,0.01,68.89827394485474,406,False,14.0,42.0,101
2,0.001,234.71919631958008,2084,True,14.0,21.0,387
3,0.001,287.43578910827637,234,False,14.0,14.0,385
3,0.001,256.04767513275146,230,False,14.0,14.0,224
2,0.0001,163.71055507659912,838,True,14.0,21.0,244
3,0.0001,309.70055198669434,1085,True,14.0,21.0,250
3,0.0001,230.4426212310791,3215,True,14.0,14.0,3186
2,0.001,60.095860958099365,202,False,14.0,14.0,52
2,0.0001,194.51575207710266,522,True,14.0,21.0,103
1,0.0001,38.256511926651,168,False,14.0,14.0,164
1,0.001,34.45317625999451,176,False,14.0,42.0,154
2,0.01,59.96301984786987,198,False,14.0,21.0,116
3,0.01,140.17988991737366,951,True,14.0,14.0,874
3,0.0001,515.6848771572113,3913,True,14.0,14.0,3894
1,0.001,44.90790390968323,2131,True,14.0,21.0,372
1,0.01,39.3533456325531,266,False,14.0,0.0,131
1,0.0001,35.77624297142029,909,True,14.0,14.0,649
3,0.0001,393.61952781677246,763,True,14.0,14.0,304
3,0.001,130.2246971130371,623,True,14.0,21.0,288
3,0.01,154.34816074371338,142,False,14.0,0.0,411
3,0.01,143.17498111724854,315,True,14.0,14.0,157
1,0.001,29.92501211166382,152,False,14.0,14.0,321
3,0.01,142.56436133384705,300,False,14.0,21.0,206
2,0.001,77.41170907020569,705,True,14.0,14.0,387
2,0.0001,212.83414816856384,2131,True,14.0,14.0,367
2,0.0001,295.9019978046417,1955,True,14.0,14.0,424
2,0.01,67.21900916099548,69,False,14.0,14.0,295
3,0.0001,498.80997824668884,1045,True,14.0,14.0,791
1,0.01,32.73666000366211,164,False,14.0,14.0,63
3,0.001,505.8475730419159,1929,True,14.0,14.0,433
3,0.001,245.22495794296265,1814,True,14.0,14.0,1727
3,0.0001,260.8927900791168,635,True,14.0,14.0,197
2,0.001,130.04190373420715,378,False,14.0,42.0,106
2,0.001,237.1264271736145,832,True,14.0,21.0,212
2,0.001,150.2569489479065,217,False,14.0,14.0,529
2,0.001,140.80459189414978,676,False,14.0,28.0,345
1,0.01,73.09079194068909,580,True,14.0,14.0,323
1,0.01,32.655598878860474,351,False,14.0,70.0,197
3,0.01,121.8224368095398,504,False,14.0,14.0,221
1,0.0001,48.73918104171753,849,True,14.0,14.0,525
2,0.01,94.64735102653503,923,True,14.0,14.0,333
2,0.01,193.4685459136963,1174,True,14.0,14.0,296
3,0.0001,585.037535905838,2654,True,14.0,14.0,475
2,0.01,151.26109218597412,1801,True,14.0,21.0,362
2,0.01,87.0342230796814,1186,True,14.0,14.0,558
2,0.01,63.93783617019653,179,False,14.0,28.0,186
3,0.01,149.51534175872803,105,False,14.0,0.0,788
1,0.001,51.40166521072388,783,True,14.0,14.0,455
2,0.001,128.99668312072754,1702,True,14.0,21.0,368
3,0.01,134.8284318447113,392,True,14.0,14.0,165
3,0.01,141.10592889785767,627,True,14.0,21.0,184
3,0.01,162.08435988426208,245,False,14.0,14.0,162
2,0.01,119.45042610168457,1182,True,14.0,14.0,862
3,0.0001,705.5842382907867,2915,True,14.0,21.0,518
1,0.0001,56.92629885673523,360,False,14.0,42.0,238
3,0.0001,446.2236018180847,1253,True,14.0,14.0,764
1,0.0001,54.537734031677246,212,False,14.0,28.0,124
1,0.0001,28.666887998580933,1894,True,14.0,14.0,334
1,0.01,28.74918222427368,251,False,14.0,14.0,171
2,0.001,159.0817620754242,771,True,14.0,14.0,158
1,0.001,29.481317043304443,765,True,14.0,14.0,444
1,0.0001,43.02613711357117,224,False,14.0,14.0,104
