steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
2,0.0001,2253,1802,65.49568676948547,True,False
2,0.01,2278,1853,44.83907413482666,False,True
2,0.001,372,3771,42.513922691345215,False,False
3,0.01,3658,678,130.8324339389801,True,False
1,0.01,1207,2942,15.875278949737549,True,False
3,0.01,3475,835,96.89585208892822,True,False
2,0.01,2796,1385,62.55914902687073,False,False
1,0.001,1219,3025,15.616765975952148,False,True
2,0.01,2736,1459,66.31623911857605,True,False
2,0.0001,2350,1832,76.92183804512024,True,False
3,0.0001,3338,992,198.14990329742432,True,False
2,0.0001,618,3256,57.72909998893738,True,False
1,0.001,1225,2897,18.78158688545227,False,False
2,0.001,2725,1457,55.24435496330261,False,False
1,0.01,1221,2998,11.169234991073608,True,False
2,0.001,2628,1508,67.94322204589844,True,False
1,0.01,1242,3039,18.40328884124756,True,False
3,0.01,2275,1874,88.82868528366089,False,False
3,0.0001,3178,976,180.91081595420837,False,False
3,0.0001,3200,999,158.8747489452362,True,False
1,0.0001,1259,2995,21.20442485809326,True,False
1,0.01,1226,2861,16.755970001220703,False,False
3,0.001,3253,847,253.93477821350098,False,False
2,0.01,2192,1859,68.68737292289734,False,False
1,0.01,1211,2963,13.0175199508667,False,True
2,0.001,2753,1440,33.632532835006714,False,False
3,0.001,3481,882,106.28153705596924,True,False
2,0.001,2757,1450,62.62406611442566,False,False
2,0.0001,2255,1837,76.36043214797974,False,False
3,0.0001,3659,681,174.5333068370819,False,False
1,0.0001,1213,2958,21.46147084236145,False,False
3,0.001,3322,932,246.35432076454163,True,False
1,0.0001,608,3256,21.44023895263672,True,False
3,0.01,3395,903,87.56680798530579,True,False
2,0.001,2828,1431,39.50746703147888,True,False
1,0.0001,1281,2942,24.865673065185547,False,False
3,0.01,2967,1272,77.48614716529846,True,False
1,0.0001,1213,2990,25.804478883743286,False,False
1,0.0001,1235,2944,26.937785863876343,True,False
2,0.01,2609,1510,54.96123194694519,False,True
3,0.0001,3050,1195,266.0282928943634,True,False
1,0.0001,1252,2942,25.75971269607544,False,False
1,0.01,624,3223,12.22564697265625,True,False
3,0.0001,3157,922,152.07772707939148,False,False
2,0.0001,2254,1804,57.0758490562439,False,False
1,0.0001,1279,2947,19.17886209487915,False,False
1,0.0001,1196,2970,29.14893102645874,False,False
3,0.001,1593,2603,198.5933132171631,False,False
2,0.001,2189,1844,86.56841492652893,False,False
2,0.001,2693,1455,56.81988191604614,True,False
3,0.0001,3516,889,297.7337291240692,True,False
3,0.01,3214,969,200.13180708885193,False,False
3,0.0001,3516,831,182.68921494483948,True,False
3,0.001,2755,1469,117.71649312973022,False,False
3,0.001,3220,943,122.94756293296814,False,False
1,0.0001,1216,3037,20.938374042510986,False,True
1,0.0001,1268,2921,33.67291593551636,False,False
3,0.01,3164,1059,179.07042407989502,True,False
2,0.001,2767,1422,63.853204011917114,True,False
1,0.01,1255,3018,19.384292125701904,False,False
2,0.001,2747,1445,57.82719588279724,False,False
1,0.0001,1251,3020,18.96838688850403,True,False
2,0.0001,2794,1418,93.43855905532837,True,False
1,0.01,1169,2954,11.971718788146973,False,False
3,0.01,3060,1167,115.4853732585907,True,False
3,0.0001,3426,915,145.02953481674194,False,True
2,0.001,2336,1813,38.321394205093384,True,False
1,0.01,1313,3042,8.613682270050049,True,False
3,0.001,2997,1264,165.2818591594696,True,False
2,0.0001,2717,1479,131.71004486083984,False,True
2,0.001,2656,1438,46.77042293548584,False,True
2,0.001,2219,1841,69.60819721221924,False,False
1,0.01,1224,2981,9.740215063095093,False,False
3,0.01,2230,1886,69.09655022621155,False,False
1,0.01,1259,2963,9.819045782089233,True,False
1,0.01,622,3304,11.472686052322388,False,False
3,0.001,3545,730,179.3128788471222,False,False
3,0.0001,3248,1038,333.66672682762146,False,True
2,0.0001,2706,1479,52.704590797424316,True,False
2,0.0001,2295,1814,100.31828308105469,True,False
3,0.001,3273,990,218.95765209197998,False,False
1,0.0001,1240,3042,20.62100911140442,False,True
1,0.001,621,3276,18.45646905899048,False,False
1,0.0001,1249,2923,20.76515007019043,False,False
3,0.01,3022,1248,110.66808772087097,True,False
3,0.01,2054,2032,53.99566388130188,False,False
1,0.01,1328,2883,16.577460050582886,True,False
3,0.001,3275,965,141.57345485687256,False,False
2,0.01,2175,1782,95.0780348777771,False,False
1,0.01,1246,2982,14.187277793884277,False,False
3,0.0001,2989,1204,366.42250299453735,True,False
1,0.0001,1229,2924,20.753807067871094,False,False
2,0.001,2244,1827,37.30052208900452,False,False
3,0.001,403,3793,81.01330399513245,False,False
1,0.001,1148,3035,19.09115695953369,False,True
2,0.0001,2255,1848,48.86719489097595,False,False
3,0.01,2828,1225,114.5122537612915,False,False
3,0.01,3355,956,96.86358404159546,False,False
2,0.01,2602,1494,72.259024143219,False,False
3,0.0001,3479,767,268.94446086883545,False,False
2,0.01,2311,1878,34.03512501716614,False,False
1,0.0001,1217,2947,27.067856073379517,True,False
2,0.01,441,3787,36.55502009391785,True,False
2,0.01,2198,1786,25.529906034469604,False,False
1,0.0001,1255,2984,25.386059045791626,True,False
3,0.0001,3603,687,218.0983748435974,False,False
3,0.01,3422,829,58.89488482475281,True,False
1,0.01,664,3205,12.375822305679321,False,False
2,0.01,2732,1435,50.963403940200806,False,False
3,0.0001,3421,883,313.45723271369934,False,False
1,0.0001,1172,3037,26.25304079055786,False,False
3,0.01,3354,850,76.41934514045715,False,False
2,0.001,2751,1413,86.7564971446991,False,False
1,0.001,1193,3051,37.46133232116699,False,False
1,0.001,1305,2860,17.85573673248291,False,False
3,0.0001,3610,753,199.0605809688568,False,False
2,0.001,2263,1925,43.6932418346405,False,True
3,0.001,3232,992,232.33786296844482,True,False
1,0.01,1207,2985,15.989567995071411,False,False
2,0.0001,2236,1790,59.043262004852295,False,False
2,0.0001,2232,1875,98.7651789188385,True,False
2,0.0001,2196,1865,86.24034404754639,False,False
2,0.0001,2564,1499,72.92447280883789,False,False
2,0.001,2229,1782,110.98414397239685,False,False
2,0.0001,2660,1463,65.80960583686829,False,False
3,0.001,3522,831,155.93689703941345,True,False
1,0.0001,570,3325,35.055340051651,False,False
2,0.0001,2616,1494,65.81528186798096,False,False
3,0.001,3311,960,153.48627996444702,True,False
2,0.01,2322,1817,38.369943141937256,True,False
3,0.01,3418,927,52.3605170249939,True,False
2,0.001,2728,1441,35.438153982162476,False,False
2,0.01,2792,1379,45.847179889678955,True,False
1,0.0001,615,3314,24.0656099319458,False,False
3,0.0001,3397,914,159.42381811141968,False,True
3,0.001,3041,1279,111.08653903007507,True,False
1,0.01,1248,2970,12.654860973358154,False,True
3,0.0001,3613,687,384.4705741405487,False,False
1,0.01,593,3291,19.412437915802002,False,False
2,0.01,2641,1486,62.911052942276,True,False
2,0.01,2673,1497,23.418025016784668,True,False
3,0.0001,3583,749,277.63535499572754,False,False
2,0.01,2646,1425,63.4496431350708,False,False
2,0.0001,2723,1458,87.85285091400146,False,True
1,0.001,1145,2991,21.880300998687744,False,False
3,0.01,2512,1518,55.94931411743164,False,False
1,0.001,1212,3029,13.933320999145508,False,False
1,0.01,1226,2896,11.35031509399414,False,False
2,0.01,2604,1541,46.32947397232056,False,False
2,0.0001,2173,1850,156.2006230354309,False,False
1,0.0001,1303,2954,28.604631185531616,False,False
3,0.0001,3613,757,254.79098677635193,True,False
1,0.0001,1194,3013,20.698746919631958,False,False
2,0.01,2379,1833,42.32123589515686,False,False
2,0.0001,381,3799,61.70336365699768,False,False
2,0.001,2151,1842,75.31897902488708,False,False
3,0.0001,1486,2649,157.60464715957642,False,False
3,0.01,3054,900,67.26620626449585,True,False
2,0.0001,2632,1468,90.3282790184021,False,False
3,0.01,2301,1899,61.250256299972534,False,False
3,0.001,3156,850,230.80262303352356,False,True
2,0.001,2223,1852,72.99870109558105,False,False
1,0.001,1188,2947,22.27676796913147,False,False
1,0.001,1225,2978,18.69416093826294,False,False
2,0.001,2279,1829,73.4425778388977,False,False
2,0.01,2632,1437,56.858985900878906,False,False
