starting_node,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
1,all,2,0.001,395.38269686698914,11.040936060987963,11.355897345053174,5837
0,all,2,0.001,530.3770439624786,5.866215568448712,6.584243545870541,7700
0,all,2,0.001,223.33070421218872,7.315278085579164,7.315278085579164,6197
0,all,2,0.001,995.5696420669556,10.351921116312148,10.351921116312148,5924
2,all,2,0.001,344.38544607162476,9.096837818172924,9.096837818172924,7641
0,all,2,0.001,302.7084951400757,9.678685691882674,10.417798968745839,5345
1,all,2,0.001,735.9594690799713,10.124985498463897,10.124985498463897,6135
2,all,2,0.001,455.30877900123596,12.501075454104413,12.501075454104413,7862
3,all,2,0.001,424.5213408470154,9.147972933102812,9.147972933102812,3963
0,all,2,0.001,361.64399313926697,17.009670024918975,17.009670024918975,8124
1,all,2,0.001,278.17541790008545,14.744989131955137,14.744989131955137,8068
1,all,2,0.001,627.9917032718658,16.365466329835183,16.739103498251403,6412
3,all,2,0.001,500.7709619998932,10.354193337650532,10.354193337650532,6658
1,all,2,0.001,316.93514013290405,11.777619252049229,11.777619252049229,5803
1,all,2,0.001,202.94950985908508,12.79420068366791,16.772168508810346,4559
3,all,2,0.001,473.64737915992737,3.8967995890088005,3.8967995890088005,6723
2,all,2,0.001,307.08818769454956,10.603910071881907,10.603910071881907,5759
3,all,2,0.001,210.9977240562439,14.64765124114454,14.64765124114454,8119
0,all,2,0.001,517.3000619411469,17.65966554654623,18.61788619022564,5912
1,all,2,0.001,325.9556610584259,9.661606461498913,11.253847578803704,4503
