case,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
5,"[2, 0, 1]",2,0.001,90.15577697753906,2.3657013837127323,2.3657013837127328,4125
5,"[2, 1, 0]",2,0.001,119.02942204475403,5.695756091516033,5.695756091516033,4691
1,all,2,0.001,342.1377239227295,31.746499851574264,31.746499851574264,4990
7,all,2,0.001,239.84579396247864,45.06091533364839,45.06091533364839,3056
1,"[2, 0, 1]",2,0.001,137.78349208831787,51.42765765517002,51.42765765517002,10000
3,all,2,0.001,430.6945688724518,29.06187634971616,29.06187634971616,3223
1,"[2, 0, 1]",2,0.001,161.67371582984924,36.89544014078285,36.89544014078285,3325
2,"[2, 1, 0]",2,0.001,156.01866102218628,89.68927572078255,89.68927572078255,10000
4,all,2,0.001,593.2694578170776,12.067265526151584,12.067265526151584,4408
4,"[2, 0, 1]",2,0.001,240.42405080795288,34.445843359319255,34.445843359319255,10000
0,"[2, 0, 1]",2,0.001,162.9579439163208,11.556210177879223,11.556210177879223,9997
1,all,2,0.001,236.53412008285522,75.90633447494687,75.90633447494687,5014
6,"[2, 1, 0]",2,0.001,123.11249613761902,40.51658301598419,40.51658301598419,10000
6,"[2, 0, 1]",2,0.001,151.49134421348572,3.3291465912395535,3.3291465912395535,10000
3,all,2,0.001,347.14482498168945,45.91501200567271,45.91501200567271,5758
5,all,2,0.001,129.33302211761475,7.894520450899732,7.894520450899732,1698
6,all,2,0.001,495.8274209499359,5.761071971189916,5.761071971189916,5035
1,"[2, 0, 1]",2,0.001,143.8124852180481,8.064068200140785,8.064068200140785,3277
3,"[2, 0, 1]",2,0.001,246.81966400146484,46.77506155017432,46.77506155017432,10000
7,all,2,0.001,520.5031850337982,73.88898893303673,73.88898893303673,6603
1,"[2, 1, 0]",2,0.001,181.78685998916626,42.39587548794917,42.39587548794917,3210
7,all,2,0.001,266.6238570213318,59.28377599381415,59.28377599381415,3651
2,"[2, 1, 0]",2,0.001,140.49515438079834,37.95355635473315,37.95355635473315,9999
8,all,2,0.001,455.9217028617859,8.030493318257257,8.030493318257257,4889
1,"[2, 0, 1]",2,0.001,127.69202089309692,63.740530180807596,63.740530180807596,10000
1,"[2, 1, 0]",2,0.001,148.88753390312195,92.67088576194814,92.67088576194814,10000
6,"[2, 1, 0]",2,0.001,313.9884841442108,2.9943668591137795,2.9943668591137795,3326
5,"[2, 0, 1]",2,0.001,80.61329889297485,4.609384001252223,4.609384001252223,9134
6,"[2, 1, 0]",2,0.001,143.77025294303894,6.820012957124934,6.820012957124934,10000
3,"[2, 0, 1]",2,0.001,121.78650188446045,45.6955634575736,45.6955634575736,10000
3,all,2,0.001,225.25773215293884,43.2949298540521,43.2949298540521,5828
6,all,2,0.001,327.0083038806915,31.50347693088993,31.50347693088993,5008
1,all,2,0.001,246.50695872306824,66.03400139164742,66.03400139164742,5034
